Elgin 0 0 0 0 0 0 5 0 0 7 10 0 0 0 0 5 0 6 0 8 5 8 10 0 5 12 0 10 0 6 15 14 25 27 28 42 49 47 62 66 69 60 62 47 48 58 36 69 42 41 45 28 30 29 31 39 35 31 33 23 30 38 36 35 24 27 25 29 28 37 41 24 35 31 31 26 30 35 20 38 34 48 49 40 46 44 50 56 46 68 67 59 50 33 38 34 20 32 48 45 34 39 23 26 40 31 28 35 36 29 43 36 12 23 29 21 15 25 24 14 23 19 22 28 26 39 26 21 34 27 17 23 32 14
Elhadj 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 6 6 5 7 12 9 0 11 12 8 5 7 6 7 7 5
Elhadji 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 10 7 10 11 8 9 9 6 10 6 0 6 8 8
Elham 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0
Eli 73 97 94 82 67 56 66 51 75 60 49 49 60 53 60 55 43 39 46 38 45 45 51 47 43 43 44 50 55 60 63 81 159 167 208 269 271 246 287 241 252 290 276 260 247 291 266 224 215 198 192 172 186 157 176 175 160 144 119 110 140 130 130 118 123 125 116 143 137 125 139 142 140 125 134 120 152 129 118 145 147 149 137 139 122 117 115 126 139 128 234 268 266 339 372 338 381 473 441 497 536 549 503 519 506 554 561 546 542 624 667 709 704 867 878 841 864 850 994 1047 1459 1619 1924 1972 2517 2682 2978 3230 4507 4901 6548 7194 8039 7867
Elia 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 6 10 0 6 6 7 5 9 9 0 0 8 0 0 6 0 6 6 0 6 5 0 0 0 5 0 6 0 7 5 6 0 0 0 0 0 5 6 0 11 10 5 0 9 6 6 0 5 0 6 10 8 9 0 9 12 11 14 13 12 13 14 12 22 11 14 12 8 7 11 10 16 5 9 16 12 11 13 11 11 8 13 20 17 16 16 12 19 17 15 11 12 17 16 16
Eliab 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 5 5 5 0 8 7 5 0 0 8 16 14 13 14 15 14 24 20 18 18 21 24 32 27
Eliah 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 5 0 9 6 8 7 5 10 6 5 7 5 8 0 0 0 0 0 10 8 10 6 10 15 17 13 16 23 18 17 21 26 26 28 23 43 56 40 46 39 33
Eliahs 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 7 0 0 5 0 0 0 0 0 0 5 0 9 6
Eliahu 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 6 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
